"record_id"	"protein_name"	"gene_symbol"	"UniProt_ID"	"assay_target_name"	"assay_target_ID"	"proteomic_platform"	"protein_form_or_isoform"	"disease"	"disease_subtype"	"outcome_definition"	"source_study_first_author"	"publication_year"	"journal"	"PMID"	"DOI"	"publication_status"	"pQTL_source"	"pQTL_sample_size"	"ancestry"	"cis_trans_status"	"instrument_definition"	"instrument_SNPs"	"MR_method"	"beta_or_logOR"	"SE"	"OR"	"CI_lower"	"CI_upper"	"P_value"	"multiple_testing_method"	"corrected_significance"	"colocalization_method"	"PP_H4"	"SMR_P"	"HEIDI_P"	"replication_dataset"	"replication_status"	"effect_direction"	"outcome_GWAS"	"overlap_with_primary_outcome_GWAS"	"same_outcome_reanalysis"	"evidence_tier"	"high_complexity_locus"	"assay_cross_reactivity_risk"	"inclusion_status"	"exclusion_reason"	"APOE_rs429358_alpha_available"	"APOE_rs7412_alpha_available"	"alpha_source"	"eligible_for_two_step_MR"	"manual_verification_status"	"notes"	"source_table_file"	"source_sheet"	"source_row"	"beta_source_type"	"mapping_confidence"	"evidence_independence"	"duplicate_group"	"allele_harmonization_status"	"derived_field_notes"
"EVID_40327005_C3_cb17d23eadfe"	"C3"	"C3"	"not_reported"	"C3"	"gene-level label only"	"deCODE"	"not_reported"	"AMD"	"early_AMD"	"early_AMD"	"Chen C"	"2025"	"Translational vision science & technology"	"40327005"	"10.1167/tvst.14.5.8"	"peer_reviewed"	"deCODE"	"35559"	"European"	"top_cis_pQTL_SMR"	"top cis-pQTL used in SMR"	"rs11569415"	"SMR"	"1.14767"	"0.207716"	"3.150842886312636"	"not_reported"	"not_reported"	"3.291284e-08"	"Benjamini-Hochberg FDR"	"true"	"not_reported"	"not_reported"	"3.291284e-08"	"0.8238482"	"cross-platform comparison"	"partially_overlapping_cross_platform"	"higher_protein_higher_risk"	"study-specific AMD GWAS"	"requires_manual_verification"	"unclear"	"Tier2"	"false"	"requires_platform_review"	"literature_source_universe_tier2"	"mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Corrected SMR row; no colocalization table was reported."	"data_raw\literature_fulltext\PMID40327005_PMC12063708\supplements\tvst-14-5-8_s003.xlsx"	"Supplementary table 3"	"1501"	"published_beta"	"moderate"	"partially_overlapping"	"AMD_multi_platform_2025"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_40327005_C3_cfbf578dc537"	"C3"	"C3"	"not_reported"	"C3"	"gene-level label only"	"deCODE"	"not_reported"	"AMD"	"early_AMD"	"early_AMD"	"Chen C"	"2025"	"Translational vision science & technology"	"40327005"	"10.1167/tvst.14.5.8"	"peer_reviewed"	"deCODE"	"35559"	"European"	"top_cis_pQTL_SMR"	"top cis-pQTL used in SMR"	"rs10408682"	"SMR"	"1.30881"	"0.321508"	"3.70176598860836"	"not_reported"	"not_reported"	"4.684414e-05"	"Benjamini-Hochberg FDR"	"true"	"not_reported"	"not_reported"	"4.684414e-05"	"0.2297563"	"cross-platform comparison"	"partially_overlapping_cross_platform"	"higher_protein_higher_risk"	"study-specific AMD GWAS"	"requires_manual_verification"	"unclear"	"Tier2"	"false"	"requires_platform_review"	"literature_source_universe_tier2"	"mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Corrected SMR row; no colocalization table was reported."	"data_raw\literature_fulltext\PMID40327005_PMC12063708\supplements\tvst-14-5-8_s003.xlsx"	"Supplementary table 3"	"444"	"published_beta"	"moderate"	"partially_overlapping"	"AMD_multi_platform_2025"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_40327005_CASP10_664977e4a92c"	"CASP10"	"CASP10"	"not_reported"	"CASP10"	"gene-level label only"	"UKB-PPP Olink"	"not_reported"	"AMD"	"early_AMD"	"early_AMD"	"Chen C"	"2025"	"Translational vision science & technology"	"40327005"	"10.1167/tvst.14.5.8"	"peer_reviewed"	"UKB-PPP Olink"	"54219"	"European"	"top_cis_pQTL_SMR"	"top cis-pQTL used in SMR"	"rs7576306"	"SMR"	"-0.288811"	"0.0778137"	"0.7491537820880658"	"not_reported"	"not_reported"	"0.000205977"	"Benjamini-Hochberg FDR"	"true"	"not_reported"	"not_reported"	"0.000205977"	"0.02104273"	"cross-platform comparison"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"study-specific AMD GWAS"	"requires_manual_verification"	"unclear"	"Tier2"	"false"	"requires_platform_review"	"literature_source_universe_tier2"	"mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Corrected SMR row; no colocalization table was reported."	"data_raw\literature_fulltext\PMID40327005_PMC12063708\supplements\tvst-14-5-8_s003.xlsx"	"Supplementary table 4"	"73"	"published_beta"	"moderate"	"partially_overlapping"	"AMD_multi_platform_2025"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_40327005_CD46_2ac9703175c8"	"CD46"	"CD46"	"not_reported"	"CD46"	"gene-level label only"	"deCODE"	"not_reported"	"AMD"	"early_AMD"	"early_AMD"	"Chen C"	"2025"	"Translational vision science & technology"	"40327005"	"10.1167/tvst.14.5.8"	"peer_reviewed"	"deCODE"	"35559"	"European"	"top_cis_pQTL_SMR"	"top cis-pQTL used in SMR"	"rs10746399"	"SMR"	"-0.245204"	"0.0622813"	"0.7825448828014754"	"not_reported"	"not_reported"	"8.249188e-05"	"Benjamini-Hochberg FDR"	"true"	"not_reported"	"not_reported"	"8.249188e-05"	"0.3021107"	"cross-platform comparison"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"study-specific AMD GWAS"	"requires_manual_verification"	"unclear"	"Tier2"	"false"	"requires_platform_review"	"literature_source_universe_tier2"	"mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Corrected SMR row; no colocalization table was reported."	"data_raw\literature_fulltext\PMID40327005_PMC12063708\supplements\tvst-14-5-8_s003.xlsx"	"Supplementary table 3"	"562"	"published_beta"	"moderate"	"partially_overlapping"	"AMD_multi_platform_2025"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_40327005_CDSN_513f5b7bacfb"	"CDSN"	"CDSN"	"not_reported"	"CDSN"	"gene-level label only"	"UKB-PPP Olink"	"not_reported"	"AMD"	"early_AMD"	"early_AMD"	"Chen C"	"2025"	"Translational vision science & technology"	"40327005"	"10.1167/tvst.14.5.8"	"peer_reviewed"	"UKB-PPP Olink"	"54219"	"European"	"top_cis_pQTL_SMR"	"top cis-pQTL used in SMR"	"rs3095306"	"SMR"	"0.135047"	"0.022874"	"1.1445905788443398"	"not_reported"	"not_reported"	"3.548607e-09"	"Benjamini-Hochberg FDR"	"true"	"not_reported"	"not_reported"	"3.548607e-09"	"0.03633467"	"cross-platform comparison"	"partially_overlapping_cross_platform"	"higher_protein_higher_risk"	"study-specific AMD GWAS"	"requires_manual_verification"	"unclear"	"Tier2"	"false"	"requires_platform_review"	"literature_source_universe_tier2"	"mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Corrected SMR row; no colocalization table was reported."	"data_raw\literature_fulltext\PMID40327005_PMC12063708\supplements\tvst-14-5-8_s003.xlsx"	"Supplementary table 4"	"106"	"published_beta"	"moderate"	"partially_overlapping"	"AMD_multi_platform_2025"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_40327005_CFB_952cff187f99"	"CFB"	"CFB"	"not_reported"	"CFB"	"gene-level label only"	"deCODE"	"not_reported"	"AMD"	"early_AMD"	"early_AMD"	"Chen C"	"2025"	"Translational vision science & technology"	"40327005"	"10.1167/tvst.14.5.8"	"peer_reviewed"	"deCODE"	"35559"	"European"	"top_cis_pQTL_SMR"	"top cis-pQTL used in SMR"	"rs547154"	"SMR"	"-0.389764"	"0.0447381"	"0.6772166787767094"	"not_reported"	"not_reported"	"2.982426e-18"	"Benjamini-Hochberg FDR"	"true"	"not_reported"	"not_reported"	"2.982426e-18"	"0.09029817"	"cross-platform comparison"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"study-specific AMD GWAS"	"requires_manual_verification"	"unclear"	"Tier2"	"false"	"requires_platform_review"	"literature_source_universe_tier2"	"mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Corrected SMR row; no colocalization table was reported."	"data_raw\literature_fulltext\PMID40327005_PMC12063708\supplements\tvst-14-5-8_s003.xlsx"	"Supplementary table 3"	"171"	"published_beta"	"moderate"	"partially_overlapping"	"AMD_multi_platform_2025"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_40327005_MCEMP1_6bd1c66077a7"	"MCEMP1"	"MCEMP1"	"not_reported"	"MCEMP1"	"gene-level label only"	"deCODE"	"not_reported"	"AMD"	"early_AMD"	"early_AMD"	"Chen C"	"2025"	"Translational vision science & technology"	"40327005"	"10.1167/tvst.14.5.8"	"peer_reviewed"	"deCODE"	"35559"	"European"	"top_cis_pQTL_SMR"	"top cis-pQTL used in SMR"	"rs1047286"	"SMR"	"-1.74842"	"0.386045"	"0.1740487233000146"	"not_reported"	"not_reported"	"5.924825e-06"	"Benjamini-Hochberg FDR"	"true"	"not_reported"	"not_reported"	"5.924825e-06"	"0.3322956"	"cross-platform comparison"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"study-specific AMD GWAS"	"requires_manual_verification"	"unclear"	"Tier2"	"false"	"requires_platform_review"	"literature_source_universe_tier2"	"mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Corrected SMR row; no colocalization table was reported."	"data_raw\literature_fulltext\PMID40327005_PMC12063708\supplements\tvst-14-5-8_s003.xlsx"	"Supplementary table 3"	"628"	"published_beta"	"moderate"	"partially_overlapping"	"AMD_multi_platform_2025"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_40327005_TNFRSF10A_4cbb628ff84a"	"TNFRSF10A"	"TNFRSF10A"	"not_reported"	"TNFRSF10A"	"gene-level label only"	"UKB-PPP Olink"	"not_reported"	"AMD"	"early_AMD"	"early_AMD"	"Chen C"	"2025"	"Translational vision science & technology"	"40327005"	"10.1167/tvst.14.5.8"	"peer_reviewed"	"UKB-PPP Olink"	"54219"	"European"	"top_cis_pQTL_SMR"	"top cis-pQTL used in SMR"	"rs13278062"	"SMR"	"-0.173241"	"0.0308354"	"0.8409349251045404"	"not_reported"	"not_reported"	"1.928817e-08"	"Benjamini-Hochberg FDR"	"true"	"not_reported"	"not_reported"	"1.928817e-08"	"0.02913823"	"cross-platform comparison"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"study-specific AMD GWAS"	"requires_manual_verification"	"unclear"	"Tier2"	"false"	"requires_platform_review"	"literature_source_universe_tier2"	"mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"<external_resource_root>\UKB-PPP\syn51365303_European_discovery\TNFRSF10A_O00220_OID20967_v1_Neurology.tar"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Corrected SMR row; no colocalization table was reported."	"data_raw\literature_fulltext\PMID40327005_PMC12063708\supplements\tvst-14-5-8_s003.xlsx"	"Supplementary table 4"	"89"	"published_beta"	"moderate"	"partially_overlapping"	"AMD_multi_platform_2025"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_40327005_TNFSF14_f49f90fb541c"	"TNFSF14"	"TNFSF14"	"not_reported"	"TNFSF14"	"gene-level label only"	"deCODE"	"not_reported"	"AMD"	"early_AMD"	"early_AMD"	"Chen C"	"2025"	"Translational vision science & technology"	"40327005"	"10.1167/tvst.14.5.8"	"peer_reviewed"	"deCODE"	"35559"	"European"	"top_cis_pQTL_SMR"	"top cis-pQTL used in SMR"	"rs1047286"	"SMR"	"-1.58083"	"0.334852"	"0.20580420980187109"	"not_reported"	"not_reported"	"2.347065e-06"	"Benjamini-Hochberg FDR"	"true"	"not_reported"	"not_reported"	"2.347065e-06"	"0.460206"	"cross-platform comparison"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"study-specific AMD GWAS"	"requires_manual_verification"	"unclear"	"Tier2"	"false"	"requires_platform_review"	"literature_source_universe_tier2"	"mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Corrected SMR row; no colocalization table was reported."	"data_raw\literature_fulltext\PMID40327005_PMC12063708\supplements\tvst-14-5-8_s003.xlsx"	"Supplementary table 3"	"850"	"published_beta"	"moderate"	"partially_overlapping"	"AMD_multi_platform_2025"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_38903171_ABO_5243eb96c9d4"	"ABO"	"ABO"	"not_reported"	"ABO"	"ENSG00000175164"	"UKB-PPP_Olink"	"not_reported"	"AMD"	"wet_AMD"	"FinnGen R10 wet_AMD"	"Pu KL"	"2024"	"Frontiers in neurology"	"38903171"	"10.3389/fneur.2024.1400557"	"peer_reviewed"	"UKB-PPP_Olink"	"54219"	"European"	"top_cis_pQTL"	"top cis-pQTL within +/-1 Mb; P<5e-8; SMR"	"rs115478735"	"SMR"	"0.0796906"	"0.0233589"	"1.08295195050152"	"not_reported"	"not_reported"	"0.0006459123"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"0.161867376137866"	"0.0006459123"	"0.4621099"	"cross-platform and FinnGen replication tables reported"	"partially_overlapping_cross_platform"	"higher_protein_higher_risk"	"FinnGen_R10_WET_AMD"	"same_FinnGen_resource_different_release_R10_vs_R12"	"true_different_release"	"Tier2"	"false"	"requires_platform_review"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Only FDR<0.05 and HEIDI>0.01 rows retained; colocalization joined by reported gene label."	"data_raw\literature_fulltext\PMID38903171_PMC11187347\supplements\Table_1.XLSX"	"Supplementary Table 8"	"861"	"published_beta"	"high"	"partially_overlapping"	"AMD_FinnGen_UKB_deCODE"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_40327005_ABO_3fa1faed5027"	"ABO"	"ABO"	"not_reported"	"ABO"	"gene-level label only"	"UKB-PPP Olink"	"not_reported"	"AMD"	"wet_AMD"	"wet_AMD"	"Chen C"	"2025"	"Translational vision science & technology"	"40327005"	"10.1167/tvst.14.5.8"	"peer_reviewed"	"UKB-PPP Olink"	"54219"	"European"	"top_cis_pQTL_SMR"	"top cis-pQTL used in SMR"	"rs115478735"	"SMR"	"0.086618"	"0.0240521"	"1.090480036770495"	"not_reported"	"not_reported"	"0.0003166674"	"Benjamini-Hochberg FDR"	"true"	"not_reported"	"not_reported"	"0.0003166674"	"0.3132782"	"cross-platform comparison"	"partially_overlapping_cross_platform"	"higher_protein_higher_risk"	"study-specific AMD GWAS"	"requires_manual_verification"	"unclear"	"Tier2"	"false"	"requires_platform_review"	"literature_source_universe_tier2"	"mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Corrected SMR row; no colocalization table was reported."	"data_raw\literature_fulltext\PMID40327005_PMC12063708\supplements\tvst-14-5-8_s003.xlsx"	"Supplementary table 8"	"709"	"published_beta"	"moderate"	"partially_overlapping"	"AMD_multi_platform_2025"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_40327005_C3_0dcc16c4bc09"	"C3"	"C3"	"not_reported"	"C3"	"gene-level label only"	"deCODE"	"not_reported"	"AMD"	"wet_AMD"	"wet_AMD"	"Chen C"	"2025"	"Translational vision science & technology"	"40327005"	"10.1167/tvst.14.5.8"	"peer_reviewed"	"deCODE"	"35559"	"European"	"top_cis_pQTL_SMR"	"top cis-pQTL used in SMR"	"rs11085197"	"SMR"	"-1.91762"	"0.311382"	"0.14695630225006265"	"not_reported"	"not_reported"	"7.347878e-10"	"Benjamini-Hochberg FDR"	"true"	"not_reported"	"not_reported"	"7.347878e-10"	"0.1971942"	"cross-platform comparison"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"study-specific AMD GWAS"	"requires_manual_verification"	"unclear"	"Tier2"	"false"	"requires_platform_review"	"literature_source_universe_tier2"	"mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Corrected SMR row; no colocalization table was reported."	"data_raw\literature_fulltext\PMID40327005_PMC12063708\supplements\tvst-14-5-8_s003.xlsx"	"Supplementary table 7"	"14"	"published_beta"	"moderate"	"partially_overlapping"	"AMD_multi_platform_2025"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_38903171_CD226_00370ab23583"	"CD226"	"CD226"	"not_reported"	"CD226"	"ENSG00000150637"	"UKB-PPP_Olink"	"not_reported"	"AMD"	"wet_AMD"	"FinnGen R10 wet_AMD"	"Pu KL"	"2024"	"Frontiers in neurology"	"38903171"	"10.3389/fneur.2024.1400557"	"peer_reviewed"	"UKB-PPP_Olink"	"54219"	"European"	"top_cis_pQTL"	"top cis-pQTL within +/-1 Mb; P<5e-8; SMR"	"rs13381239"	"SMR"	"-0.282773"	"0.0785089"	"0.7536908562670911"	"not_reported"	"not_reported"	"0.000316021"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"0.801391518741707"	"0.000316021"	"0.231396"	"cross-platform and FinnGen replication tables reported"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"FinnGen_R10_WET_AMD"	"same_FinnGen_resource_different_release_R10_vs_R12"	"true_different_release"	"Tier1"	"false"	"requires_platform_review"	"primary_high_confidence_panel"	"NA"	"true"	"true"	"<external_resource_root>\UKB-PPP\syn51365303_European_discovery\CD226_Q15762_OID30556_v1_Inflammation_II.tar"	"true"	"full_text_and_source_table_verified"	"Only FDR<0.05 and HEIDI>0.01 rows retained; colocalization joined by reported gene label."	"data_raw\literature_fulltext\PMID38903171_PMC11187347\supplements\Table_1.XLSX"	"Supplementary Table 8"	"1037"	"published_beta"	"high"	"partially_overlapping"	"AMD_FinnGen_UKB_deCODE"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_38903171_COL10A1_1c6b3340ab16"	"COL10A1"	"COL10A1"	"not_reported"	"COL10A1"	"ENSG00000123500"	"deCODE"	"not_reported"	"AMD"	"wet_AMD"	"FinnGen R10 wet_AMD"	"Pu KL"	"2024"	"Frontiers in neurology"	"38903171"	"10.3389/fneur.2024.1400557"	"peer_reviewed"	"deCODE"	"35559"	"European"	"top_cis_pQTL"	"top cis-pQTL within +/-1 Mb; P<5e-8; SMR"	"rs9488842"	"SMR"	"0.507353"	"0.103131"	"1.660888998030854"	"not_reported"	"not_reported"	"8.67563e-07"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"0.955354937044279"	"8.67563e-07"	"0.4122534"	"cross-platform and FinnGen replication tables reported"	"partially_overlapping_cross_platform"	"higher_protein_higher_risk"	"FinnGen_R10_WET_AMD"	"same_FinnGen_resource_different_release_R10_vs_R12"	"true_different_release"	"Tier1"	"false"	"requires_platform_review"	"primary_high_confidence_panel"	"NA"	"false"	"false"	"not_available_or_target_mapping_unresolved"	"false"	"full_text_and_source_table_verified"	"Only FDR<0.05 and HEIDI>0.01 rows retained; colocalization joined by reported gene label."	"data_raw\literature_fulltext\PMID38903171_PMC11187347\supplements\Table_1.XLSX"	"Supplementary Table 4"	"670"	"published_beta"	"high"	"partially_overlapping"	"AMD_FinnGen_UKB_deCODE"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_40327005_COL10A1_c53cefea8609"	"COL10A1"	"COL10A1"	"not_reported"	"COL10A1"	"gene-level label only"	"deCODE"	"not_reported"	"AMD"	"wet_AMD"	"wet_AMD"	"Chen C"	"2025"	"Translational vision science & technology"	"40327005"	"10.1167/tvst.14.5.8"	"peer_reviewed"	"deCODE"	"35559"	"European"	"top_cis_pQTL_SMR"	"top cis-pQTL used in SMR"	"rs9488842"	"SMR"	"0.454041"	"0.105845"	"1.5746625573163828"	"not_reported"	"not_reported"	"1.789328e-05"	"Benjamini-Hochberg FDR"	"true"	"not_reported"	"not_reported"	"1.789328e-05"	"0.211751"	"cross-platform comparison"	"partially_overlapping_cross_platform"	"higher_protein_higher_risk"	"study-specific AMD GWAS"	"requires_manual_verification"	"unclear"	"Tier2"	"false"	"requires_platform_review"	"literature_source_universe_tier2"	"mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Corrected SMR row; no colocalization table was reported."	"data_raw\literature_fulltext\PMID40327005_PMC12063708\supplements\tvst-14-5-8_s003.xlsx"	"Supplementary table 7"	"20"	"published_beta"	"moderate"	"partially_overlapping"	"AMD_multi_platform_2025"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_38903171_CSF2_5cb3e8224e42"	"CSF2"	"CSF2"	"not_reported"	"CSF2"	"ENSG00000164400"	"UKB-PPP_Olink"	"not_reported"	"AMD"	"wet_AMD"	"FinnGen R10 wet_AMD"	"Pu KL"	"2024"	"Frontiers in neurology"	"38903171"	"10.3389/fneur.2024.1400557"	"peer_reviewed"	"UKB-PPP_Olink"	"54219"	"European"	"top_cis_pQTL"	"top cis-pQTL within +/-1 Mb; P<5e-8; SMR"	"rs25882"	"SMR"	"0.378571"	"0.0901149"	"1.4601964770675433"	"not_reported"	"not_reported"	"2.65756e-05"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"0.954360659570385"	"2.65756e-05"	"0.1267674"	"cross-platform and FinnGen replication tables reported"	"partially_overlapping_cross_platform"	"higher_protein_higher_risk"	"FinnGen_R10_WET_AMD"	"same_FinnGen_resource_different_release_R10_vs_R12"	"true_different_release"	"Tier1"	"false"	"requires_platform_review"	"primary_high_confidence_panel"	"NA"	"true"	"true"	"<external_resource_root>\UKB-PPP\syn51365303_European_discovery\CSF2_P04141_OID30072_v1_Cardiometabolic_II.tar"	"true"	"full_text_and_source_table_verified"	"Only FDR<0.05 and HEIDI>0.01 rows retained; colocalization joined by reported gene label."	"data_raw\literature_fulltext\PMID38903171_PMC11187347\supplements\Table_1.XLSX"	"Supplementary Table 8"	"177"	"published_beta"	"high"	"partially_overlapping"	"AMD_FinnGen_UKB_deCODE"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_40327005_CSF2_6c9bc5a25b65"	"CSF2"	"CSF2"	"not_reported"	"CSF2"	"gene-level label only"	"UKB-PPP Olink"	"not_reported"	"AMD"	"wet_AMD"	"wet_AMD"	"Chen C"	"2025"	"Translational vision science & technology"	"40327005"	"10.1167/tvst.14.5.8"	"peer_reviewed"	"UKB-PPP Olink"	"54219"	"European"	"top_cis_pQTL_SMR"	"top cis-pQTL used in SMR"	"rs25882"	"SMR"	"0.358669"	"0.0929991"	"1.4314229221617074"	"not_reported"	"not_reported"	"0.0001149336"	"Benjamini-Hochberg FDR"	"true"	"not_reported"	"not_reported"	"0.0001149336"	"0.07134095"	"cross-platform comparison"	"partially_overlapping_cross_platform"	"higher_protein_higher_risk"	"study-specific AMD GWAS"	"requires_manual_verification"	"unclear"	"Tier2"	"false"	"requires_platform_review"	"literature_source_universe_tier2"	"mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"<external_resource_root>\UKB-PPP\syn51365303_European_discovery\CSF2_P04141_OID30072_v1_Cardiometabolic_II.tar"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Corrected SMR row; no colocalization table was reported."	"data_raw\literature_fulltext\PMID40327005_PMC12063708\supplements\tvst-14-5-8_s003.xlsx"	"Supplementary table 8"	"227"	"published_beta"	"moderate"	"partially_overlapping"	"AMD_multi_platform_2025"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_38903171_HSPA1L_d6409377ec5b"	"HSPA1L"	"HSPA1L"	"not_reported"	"HSPA1L"	"ENSG00000204390"	"deCODE"	"not_reported"	"AMD"	"wet_AMD"	"FinnGen R10 wet_AMD"	"Pu KL"	"2024"	"Frontiers in neurology"	"38903171"	"10.3389/fneur.2024.1400557"	"peer_reviewed"	"deCODE"	"35559"	"European"	"top_cis_pQTL"	"top cis-pQTL within +/-1 Mb; P<5e-8; SMR"	"rs550671"	"SMR"	"-1.9969"	"0.255342"	"0.13575547357316547"	"not_reported"	"not_reported"	"5.261241e-15"	"Benjamini-Hochberg FDR"	"true"	"coloc.abf single-causal-variant"	"3.228164364404e-18"	"5.261241e-15"	"0.04919936"	"cross-platform and FinnGen replication tables reported"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"FinnGen_R10_WET_AMD"	"same_FinnGen_resource_different_release_R10_vs_R12"	"true_different_release"	"Tier2"	"false"	"requires_platform_review"	"literature_source_universe_tier2"	"no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Only FDR<0.05 and HEIDI>0.01 rows retained; colocalization joined by reported gene label."	"data_raw\literature_fulltext\PMID38903171_PMC11187347\supplements\Table_1.XLSX"	"Supplementary Table 4"	"621"	"published_beta"	"high"	"partially_overlapping"	"AMD_FinnGen_UKB_deCODE"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
"EVID_40327005_HSPA1L_aa17ef854a91"	"HSPA1L"	"HSPA1L"	"not_reported"	"HSPA1L"	"gene-level label only"	"deCODE"	"not_reported"	"AMD"	"wet_AMD"	"wet_AMD"	"Chen C"	"2025"	"Translational vision science & technology"	"40327005"	"10.1167/tvst.14.5.8"	"peer_reviewed"	"deCODE"	"35559"	"European"	"top_cis_pQTL_SMR"	"top cis-pQTL used in SMR"	"rs550671"	"SMR"	"-1.9622"	"0.260389"	"0.14054887302255803"	"not_reported"	"not_reported"	"4.85897e-14"	"Benjamini-Hochberg FDR"	"true"	"not_reported"	"not_reported"	"4.85897e-14"	"0.04991705"	"cross-platform comparison"	"partially_overlapping_cross_platform"	"higher_protein_lower_risk"	"study-specific AMD GWAS"	"requires_manual_verification"	"unclear"	"Tier2"	"false"	"requires_platform_review"	"literature_source_universe_tier2"	"mapping_not_high_confidence;no_strong_colocalization_or_independent_replication"	"not_assessed"	"not_assessed"	"not_assessed"	"false_pending_alpha_and_reestimated_beta"	"full_text_and_source_table_verified"	"Corrected SMR row; no colocalization table was reported."	"data_raw\literature_fulltext\PMID40327005_PMC12063708\supplements\tvst-14-5-8_s003.xlsx"	"Supplementary table 7"	"9"	"published_beta"	"moderate"	"partially_overlapping"	"AMD_multi_platform_2025"	"not_applicable_to_published_beta"	"OR=exp(reported SMR beta)"
